H,resample_min,move_pct,series_id,expiry,n_bars_all,n_bars_active,n_bars_quiet,rr25_rmse_carry_all,rr25_rmse_rough_all,bf25_rmse_carry_all,bf25_rmse_rough_all,rr25_rmse_carry_active,rr25_rmse_rough_active,bf25_rmse_carry_active,bf25_rmse_rough_active,rr25_rmse_carry_quiet,rr25_rmse_rough_quiet,bf25_rmse_carry_quiet,bf25_rmse_rough_quiet,verdict
0.03,120,0.2,front,front,331,66,265,0.004590922454067345,0.007524174477311287,0.0030537130172378626,0.003326744207418914,0.009023677587173923,0.011204542145956922,0.0035231148639554297,0.004046264824308433,0.0024472478265918267,0.006275433115024571,0.0029246144025160043,0.0031210525500037943,FAIL
0.03,120,0.2,mid,mid,331,66,265,0.003974077433974625,0.006716621804977591,0.0007320008641900138,0.0026979847660284426,0.007938828106788766,0.008661475792422943,0.0007446742039880239,0.003920793573847684,0.001996338244573826,0.006134816204516105,0.0007287980954608481,0.002292541533968493,FAIL
0.03,120,0.2,ALL,ALL,662,132,530,,,,,0.008481252846981344,0.009933008969189933,0.002133894533971727,0.003983529199078059,0.0022217930355828263,0.006205124659770338,0.0018267062489884262,0.0027067970419861437,FAIL
0.03,120,0.3,front,front,331,99,232,0.004590922454067345,0.007524174477311287,0.0030537130172378626,0.003326744207418914,0.0075654023993784614,0.010234663405002545,0.003568563302217373,0.0036960294315368917,0.00236219478448791,0.005998654737392983,0.0028042747926967813,0.0031552760698684676,FAIL
0.03,120,0.3,mid,mid,331,99,232,0.003974077433974625,0.006716621804977591,0.0007320008641900138,0.0026979847660284426,0.006703419715313815,0.00818967093238386,0.0007544581173303831,0.003422863543834611,0.0018175889395919771,0.005975162338127069,0.0007221625756149917,0.0023189663170744045,FAIL
0.03,120,0.3,ALL,ALL,662,198,464,,,,,0.0071344110573461385,0.009212167168693202,0.002161510709773878,0.003559446487685751,0.0020898918620399437,0.005986908537760026,0.0017632186841558864,0.0027371211934714363,FAIL
0.03,390,0.1,front,front,169,17,152,0.006142941473789413,0.008260819573206249,0.003227692194386201,0.0034656096349343327,0.013715473512141476,0.01289085421761048,0.003770648603645684,0.004202767614476746,0.004561326778782956,0.007564097597318057,0.003160728638350765,0.003372542301858853,PASS
0.03,390,0.1,mid,mid,169,17,152,0.005298506186967452,0.007048995812795091,0.0008841326488176679,0.002926425677894229,0.012507416586251346,0.01091345327388361,0.0006956718217602081,0.003948823409142129,0.0036909206737303067,0.006470965510636935,0.000902889779407174,0.0027879375822277568,PASS
0.03,390,0.1,ALL,ALL,338,34,304,,,,,0.01311144504919641,0.011902153745747046,0.002233160212702946,0.004075795511809437,0.004126123726256631,0.007017531553977496,0.0020318092088789695,0.0030802399420433047,PASS
0.03,390,0.2,front,front,169,34,135,0.006142941473789413,0.008260819573206249,0.003227692194386201,0.0034656096349343327,0.011716822718388276,0.01207765064711717,0.003614487580977196,0.003571468267941668,0.003532312310598107,0.0069673779240572485,0.0031219370462766648,0.003438231619609281,PASS
0.03,390,0.2,mid,mid,169,34,135,0.005298506186967452,0.007048995812795091,0.0008841326488176679,0.002926425677894229,0.010451500514502839,0.009673307809445536,0.0009240870531274543,0.003451775533762984,0.0027352165054986915,0.0062091431112401285,0.000873704400551346,0.0027773670156344982,PASS
0.03,390,0.2,ALL,ALL,338,68,270,,,,,0.011084161616445556,0.010875479228281353,0.0022692873170523254,0.0035116219008523263,0.003133764408048399,0.006588260517648688,0.0019978207234140053,0.0031077993176218894,PASS
0.03,390,0.3,front,front,169,51,118,0.006142941473789413,0.008260819573206249,0.003227692194386201,0.0034656096349343327,0.010269634560072396,0.011345622041569487,0.0038504330749238357,0.003810090533241331,0.0028657534887192126,0.006471258882615304,0.0029148982205011225,0.0033042310875702587,PASS
0.03,390,0.3,mid,mid,169,51,118,0.005298506186967452,0.007048995812795091,0.0008841326488176679,0.002926425677894229,0.009030996656746237,0.009039108577716415,0.0008741633893066527,0.0036053972450382477,0.0021818134488978116,0.005977637652539506,0.0008884432156367783,0.0025750332230586024,FAIL
0.03,390,0.3,ALL,ALL,338,102,236,,,,,0.009650315608409316,0.010192365309642952,0.002362298232115244,0.003707743889139789,0.002523783468808512,0.006224448267577405,0.0019016707180689505,0.0029396321553144308,FAIL
