H,resample_min,move_pct,expiry,n_bars_all,n_bars_active,n_bars_quiet,rr25_rmse_carry_all,rr25_rmse_rough_all,bf25_rmse_carry_all,bf25_rmse_rough_all,rr25_rmse_carry_active,rr25_rmse_rough_active,bf25_rmse_carry_active,bf25_rmse_rough_active,rr25_rmse_carry_quiet,rr25_rmse_rough_quiet,bf25_rmse_carry_quiet,bf25_rmse_rough_quiet,verdict
0.1,5,0.2,2025-10-22,154,31,123,0.0015074838057754128,0.00350125079652148,0.001250599233072075,0.0013793180810431156,0.0036863459778811625,0.004447086595611518,0.0011033662694244389,0.0013387682297102024,0.0018727633604044296,0.00358700932170869,0.0012878297208088068,0.0013166619158714674,FAIL
0.1,5,0.2,2025-10-23,154,31,123,0.0017700418511230327,0.0024587362890890964,0.001287770918013407,0.0018469949408709654,0.004553436377609811,0.0044115530571620125,0.0012688982966004606,0.0016925667411732026,0.0020568904975758547,0.002683346884755495,0.001366668134799726,0.0018313868502728681,PASS
0.1,5,0.2,2025-10-24,154,31,123,0.0018525838158274348,0.0036154575100713227,0.0012567032040326496,0.001370707754357802,0.0048453677462718696,0.005595181859041963,0.0010134270786451732,0.0009716429133784747,0.001883291297086328,0.0036951083531495143,0.0012842836136000482,0.0014311381473226627,PASS
0.1,5,0.2,2025-10-27,154,31,123,0.0012074060138011304,0.009992208075058897,0.001160180015476778,0.0013465889974386362,0.0026147799951216745,0.0030122412166329413,0.0012448098876216968,0.0013545823285607292,0.0013058073317202205,0.008803602252958679,0.0011391118425569616,0.0012893506892941845,FAIL
0.1,5,0.2,2025-10-28,154,31,123,0.0007472659991221064,0.004007094262588352,0.0011284049937875758,0.0009698603117771581,0.00174504012720679,0.004057465229820609,0.001298343102244693,0.001043392196579705,0.0008277721591581775,0.004068179871375718,0.001068605244443272,0.0009488366534068099,MARGINAL
0.1,5,0.2,2025-10-29,153,31,122,0.001278776740156208,0.0014401148657274705,0.0012082035406383255,0.0011894403752319923,0.002701776949098538,0.0025415643575954104,0.0015278657452451182,0.0011429194050329387,0.0013341174889336751,0.0014632821301350655,0.0011417841788100356,0.0011856448592878139,PASS
0.1,5,0.2,2025-10-30,153,31,122,0.0011266436243964994,0.0033795780897342836,0.0011515013872960113,0.0012007018649305107,0.002370021565100637,0.003802940698951414,0.0012411048970168968,0.001329259366962093,0.0011728947336973568,0.0032199642322426085,0.001088140054244775,0.0011724438141166034,FAIL
0.1,5,0.2,2025-10-31,154,31,123,0.0006751353634033199,0.0041516873336387185,0.0009620626251991255,0.0010747746924759489,0.0015808798800505776,0.004755182396529873,0.0011609073158811987,0.0010132866853218337,0.0006897137197584161,0.003758410616408915,0.0009567780451805192,0.0010746993325816737,PASS
0.1,5,0.2,2025-11-03,154,31,123,0.0005557330284486943,0.010625760554590656,0.0006473279601204163,0.00087625524131431,0.0012246096964159312,0.009755861769954565,0.0009781074320262904,0.0008793341914713888,0.0006078775372981806,0.010595066954384558,0.0006120485302157695,0.0008831001824919602,PASS
0.1,5,0.2,2025-11-04,154,31,123,0.0003584335704137587,0.0028657862680917167,0.0006681769832545365,0.0006745640291593575,0.0009381588724505411,0.0033762305359440093,0.0008113688678285547,0.0006763042552369279,0.00036633691404015507,0.0028054817380671953,0.0006794891384553017,0.0006846316730905793,PASS
